
Date,rain_acc,air_temperature,Quality_flag,horizontal_wind_speed,relative_humidity,wind_direction
05/03/2017 00:00,,13.64,,4.262,69.58,218.2
05/03/2017 01:00,,13.57,,0.855,70.3,181.9
05/03/2017 02:00,,13.51,,4.185,70,176.8
05/03/2017 03:00,,13.44,,3.324,71.9,169.2
05/03/2017 04:00,,13.37,,3.898,73.7,154.2
05/03/2017 05:00,,13.28,,6.537,77.6,152
05/03/2017 06:00,,13.19,,1.607,81.1,142.1
05/03/2017 07:00,,13.13,,7.07,83.8,179
05/03/2017 08:00,,13.06,,8.67,81.9,166
05/03/2017 09:00,,12.99,,10.04,83.6,144.7
05/03/2017 10:00,,12.97,,6.435,83.5,148.7
05/03/2017 11:00,,12.97,,8.49,83.4,157.1
05/03/2017 12:00,,12.95,,10.05,78.2,162.3
05/03/2017 13:00,,12.97,,7.74,70.2,170.7
05/03/2017 14:00,,12.99,,10.38,67.79,183.2
05/03/2017 15:00,,13.06,,10.02,78.9,156.2
05/03/2017 16:00,,13.1,,8.37,64.45,174.6
05/03/2017 17:00,,13.15,,11.64,73.8,168.3
05/03/2017 18:00,,13.17,,7.97,77.9,147.9
05/03/2017 19:00,,13.17,,6.111,77.6,144.1
05/03/2017 20:00,,13.15,,10.87,79.5,142.9
05/03/2017 21:00,,13.1,,8.48,78.2,154
05/03/2017 22:00,,13.08,,7.7,78.3,153
05/03/2017 23:00,,13.04,,10.12,79.1,136.5
06/03/2017 00:00,,12.99,,9.39,77.6,140.9
06/03/2017 01:00,,12.95,,7.69,80,134.5
06/03/2017 02:00,,12.9,,6.257,81.8,131.1
06/03/2017 03:00,,12.86,,6.669,82.6,131.9
06/03/2017 04:00,,12.81,,9.53,81.8,135.3
06/03/2017 05:00,,12.77,,9.45,81.5,134.4
06/03/2017 06:00,,12.7,,7.53,83.5,127.9
06/03/2017 07:00,,12.66,,6.335,83.5,108.5
06/03/2017 08:00,,12.59,,4.671,83.5,89.3
06/03/2017 09:00,,12.53,,6.146,78.5,102
06/03/2017 10:00,,12.55,,8.29,78,106.4
06/03/2017 11:00,,12.59,,7.89,73.2,136.4
06/03/2017 12:00,,12.7,,7.43,65.29,116.8
